device_id,charging_zone,action
rob1,4,task_created
rob1,4,task_created
rob1,4,task_created
rob1,0,task_created
rob1,0,task_created
rob1,0,task_created
rob1,0,task_created
rob1,0,task_created
rob1,0,task_created
rob1,0,task_created
rob1,0,task_created
rob1,0,task_created
rob1,0,task_created
rob1,0,task_created
rob1,0,task_created
rob1,5,task_created
rob1,5,task_created
rob1,5,task_created
rob1,5,task_created
rob1,5,task_created
rob1,5,task_created
rob1,5,task_created
rob1,5,task_created
rob1,5,task_created
